age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,y
0.17142857142857143,blue-collar,married,basic.9y,no,yes,no,cellular,may,fri,0.13368103211638757,0.029411764705882353,1.0,0.0,nonexistent,no
0.30000000000000004,services,single,high.school,no,no,no,telephone,may,fri,0.09497666758166345,0.08823529411764705,1.0,0.0,nonexistent,no
0.10000000000000003,services,married,high.school,no,yes,no,telephone,jun,wed,0.06231128191051331,0.0,1.0,0.0,nonexistent,no
0.2857142857142857,services,married,basic.9y,no,unknown,unknown,telephone,jun,fri,0.004666483667307164,0.0588235294117647,1.0,0.0,nonexistent,no
0.41428571428571426,admin.,married,university.degree,no,yes,no,cellular,nov,mon,0.01592094427669503,0.0,1.0,0.0,nonexistent,no
0.2,services,single,university.degree,no,no,no,cellular,sep,thu,0.03513587702443041,0.0588235294117647,1.0,0.3333333333333333,failure,no
0.2,admin.,single,university.degree,no,yes,no,cellular,sep,mon,0.07960472138347516,0.08823529411764705,1.0,0.0,nonexistent,no
0.3285714285714286,entrepreneur,married,university.degree,unknown,yes,no,cellular,nov,mon,0.012077957727147953,0.029411764705882353,1.0,0.0,nonexistent,no
0.18571428571428572,services,divorced,professional.course,no,no,no,cellular,nov,tue,0.018665934669228657,0.0,1.0,0.16666666666666666,failure,no
0.24285714285714288,blue-collar,married,basic.9y,unknown,no,no,telephone,may,thu,0.04666483667307164,0.0,1.0,0.0,nonexistent,no
0.10000000000000003,services,single,basic.6y,unknown,yes,no,cellular,jul,thu,0.08262421081526214,0.0,1.0,0.0,nonexistent,no
0.2571428571428571,self-employed,single,basic.4y,no,no,no,cellular,jul,thu,0.040625857809497665,0.0,1.0,0.0,nonexistent,no
0.2571428571428571,admin.,married,high.school,no,no,no,telephone,may,wed,0.02662640680757617,0.029411764705882353,1.0,0.0,nonexistent,no
0.41428571428571426,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,0.05791929728245951,0.029411764705882353,1.0,0.0,nonexistent,no
0.15714285714285714,admin.,single,high.school,no,no,no,cellular,may,fri,0.15179796870710952,0.029411764705882353,1.0,0.0,nonexistent,no
0.12857142857142856,services,single,university.degree,no,no,no,cellular,jul,wed,0.19160032939884708,0.029411764705882353,1.0,0.0,nonexistent,no
0.37142857142857144,admin.,divorced,university.degree,no,no,no,cellular,jul,wed,0.052429316497392256,0.14705882352941174,1.0,0.0,nonexistent,no
0.4,admin.,divorced,university.degree,no,yes,no,telephone,jul,mon,0.016195443315948393,0.08823529411764705,1.0,0.0,nonexistent,no
0.3857142857142857,entrepreneur,married,university.degree,unknown,yes,yes,cellular,aug,mon,0.010430963491627778,0.029411764705882353,1.0,0.0,nonexistent,no
0.4571428571428572,blue-collar,married,basic.4y,no,no,yes,cellular,jul,tue,0.23304968432610484,0.0,1.0,0.0,nonexistent,yes
0.5285714285714286,services,married,basic.6y,unknown,yes,no,cellular,jul,tue,0.0894866867965962,0.14705882352941174,1.0,0.0,nonexistent,no
0.30000000000000004,technician,divorced,high.school,no,no,no,cellular,mar,mon,0.0609387867142465,0.0,0.012012012012012012,0.3333333333333333,success,yes
0.15714285714285714,technician,single,university.degree,no,yes,yes,cellular,aug,wed,0.171836398572605,0.0588235294117647,1.0,0.0,nonexistent,no
0.3142857142857143,management,married,high.school,no,no,yes,cellular,aug,wed,0.03266538567115015,0.0,1.0,0.0,nonexistent,no
0.37142857142857144,technician,married,professional.course,unknown,yes,no,telephone,may,fri,0.10650562723030468,0.1764705882352941,1.0,0.0,nonexistent,no
0.2857142857142857,technician,married,professional.course,no,yes,no,cellular,aug,mon,0.13148503980236068,0.0,1.0,0.0,nonexistent,yes
0.2571428571428571,technician,divorced,professional.course,no,no,no,telephone,may,wed,0.12242657150699972,0.0,1.0,0.0,nonexistent,no
0.14285714285714285,blue-collar,married,basic.6y,unknown,no,no,cellular,may,mon,0.018665934669228657,0.029411764705882353,1.0,0.16666666666666666,failure,no
0.41428571428571426,admin.,single,unknown,unknown,no,no,telephone,may,thu,0.03486137798517705,0.0,1.0,0.0,nonexistent,no
0.2285714285714286,admin.,married,university.degree,no,no,no,cellular,aug,tue,0.02992039527861652,0.0,1.0,0.0,nonexistent,no
0.2857142857142857,technician,married,university.degree,no,yes,yes,cellular,mar,tue,0.031018391435629972,0.0,1.0,0.16666666666666666,failure,no
0.2142857142857143,services,married,high.school,unknown,yes,no,telephone,jun,mon,0.1078781224265715,0.0588235294117647,1.0,0.0,nonexistent,no
0.4714285714285714,technician,single,university.degree,no,no,no,cellular,jun,fri,0.04144935492725775,0.029411764705882353,1.0,0.0,nonexistent,no
0.17142857142857143,blue-collar,single,basic.4y,unknown,yes,no,telephone,jun,tue,0.07027175404886082,0.0,1.0,0.0,nonexistent,no
0.4285714285714286,technician,married,university.degree,no,no,no,cellular,aug,thu,0.01152895964864123,0.1764705882352941,1.0,0.0,nonexistent,no
0.14285714285714285,blue-collar,single,basic.9y,no,yes,no,telephone,jun,wed,0.14411199560801535,0.0,1.0,0.0,nonexistent,no
0.2571428571428571,blue-collar,married,basic.6y,no,yes,no,telephone,may,wed,0.01564644523744167,0.0,1.0,0.0,nonexistent,no
0.4,management,divorced,high.school,no,no,no,cellular,nov,wed,0.13697502058742794,0.0,1.0,0.0,nonexistent,no
0.18571428571428572,technician,single,unknown,no,yes,no,cellular,may,wed,0.02305791929728246,0.0,1.0,0.16666666666666666,failure,no
0.02857142857142858,student,single,unknown,no,no,no,cellular,oct,mon,0.037606368377710676,0.0588235294117647,1.0,0.5,failure,no
0.24285714285714288,services,married,high.school,unknown,yes,no,cellular,may,tue,0.008509470216854241,0.0,1.0,0.0,nonexistent,no
0.2857142857142857,blue-collar,married,basic.9y,unknown,unknown,unknown,telephone,jun,fri,0.11803458687894591,0.0,1.0,0.0,nonexistent,no
0.8285714285714285,retired,married,university.degree,no,no,no,cellular,aug,thu,0.03458687894592369,0.0,1.0,0.16666666666666666,failure,no
0.3857142857142857,entrepreneur,divorced,professional.course,no,yes,no,cellular,jul,tue,0.05791929728245951,0.0588235294117647,1.0,0.0,nonexistent,no
0.2,housemaid,married,basic.4y,no,yes,yes,cellular,may,fri,0.09332967334614328,0.0,1.0,0.0,nonexistent,no
0.30000000000000004,management,single,university.degree,unknown,no,no,cellular,may,thu,0.11309360417238538,0.029411764705882353,1.0,0.0,nonexistent,no
0.2,admin.,married,university.degree,no,no,no,telephone,nov,thu,0.03623387318144386,0.0,1.0,0.0,nonexistent,no
0.15714285714285714,admin.,single,basic.9y,no,no,no,cellular,may,mon,0.021685424101015646,0.029411764705882353,1.0,0.0,nonexistent,no
0.37142857142857144,services,married,professional.course,no,no,no,cellular,aug,mon,0.09360417238539664,0.029411764705882353,1.0,0.0,nonexistent,no
0.2,services,married,high.school,no,no,yes,cellular,jul,fri,0.04309634916277793,0.0588235294117647,1.0,0.0,nonexistent,no
0.5428571428571428,retired,married,university.degree,no,yes,no,cellular,jun,wed,0.06917375789184738,0.0,1.0,0.3333333333333333,failure,no
0.2142857142857143,blue-collar,married,basic.9y,no,yes,no,cellular,may,thu,0.07219324732363436,0.0,1.0,0.0,nonexistent,no
0.30000000000000004,management,married,high.school,no,no,no,cellular,aug,fri,0.059017293439472956,0.0588235294117647,1.0,0.0,nonexistent,no
0.08571428571428574,technician,married,university.degree,no,yes,yes,cellular,sep,tue,0.024430414493549272,0.029411764705882353,0.003003003003003003,0.16666666666666666,success,yes
0.2142857142857143,admin.,single,university.degree,no,yes,no,cellular,may,thu,0.03925336261323085,0.0,1.0,0.0,nonexistent,no
0.5714285714285714,entrepreneur,divorced,university.degree,no,no,no,telephone,jun,thu,0.010979961570134504,0.029411764705882353,1.0,0.0,nonexistent,no
0.15714285714285714,admin.,single,university.degree,no,yes,no,telephone,jun,fri,0.002744990392533626,0.7647058823529411,1.0,0.0,nonexistent,no
0.18571428571428572,admin.,married,university.degree,no,yes,no,cellular,aug,thu,0.031018391435629972,0.0,1.0,0.0,nonexistent,no
0.12857142857142856,admin.,married,university.degree,no,no,no,telephone,may,wed,0.052429316497392256,0.11764705882352941,1.0,0.0,nonexistent,no
0.6,admin.,divorced,professional.course,no,yes,no,cellular,sep,wed,0.1320340378808674,0.0,1.0,0.16666666666666666,failure,yes
0.5285714285714286,entrepreneur,married,professional.course,no,yes,yes,cellular,oct,mon,0.06395827614603349,0.0,1.0,0.3333333333333333,failure,no
0.27142857142857146,blue-collar,married,basic.9y,no,yes,no,cellular,may,wed,0.05599780400768597,0.029411764705882353,1.0,0.0,nonexistent,no
0.48571428571428577,admin.,married,unknown,no,yes,no,telephone,apr,wed,0.11062311281910513,0.0,0.006006006006006006,0.16666666666666666,success,yes
0.4,services,married,high.school,no,yes,no,cellular,apr,mon,0.04940982706560527,0.0,1.0,0.0,nonexistent,no
0.34285714285714286,blue-collar,divorced,basic.6y,no,yes,no,cellular,may,wed,0.0043919846280538015,0.029411764705882353,1.0,0.0,nonexistent,no
